"External ID","Name","Attribute Values","Customer Taxes","Internal Reference","Sale Price","Vendor Taxes","Customer Taxes/Amount","Customer Taxes/Display Name","Customer Taxes/ID","Customer Taxes/Tax Name","# Product Variants"
"__export__.product_product_5881_f2511e52","CLH Broadbean Paste Red Oil Sauce Jar 12*1KG CASE","","__export__.account_tax_4_2705eab1","","40.0","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
"__export__.product_product_18297_827efc8a","CLH Hot Broadbean Paste Red Oil 15*500g CASE","","__export__.account_tax_4_2705eab1","","32.0","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
"__export__.product_product_19570_504b96a8","CLH Sichuan Peppercorn Oil 12*360ml CASE","","__export__.account_tax_4_2705eab1","","48.5","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
"__export__.product_product_5883_940639af","CLH Sichuan Peppercorn Oil 6*1.8L CASE","","__export__.account_tax_4_2705eab1","","84.0","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
"__export__.product_product_21283_e6fdfab3","CLS Rice Cake Slice 24*500g CASE","","__export__.account_tax_4_2705eab1","","48.5","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
"__export__.product_product_18346_0dbe4a54","CN AK Red Oil Noodle Sesame 20*120g CASE","","__export__.account_tax_4_2705eab1","","25.0","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
"__export__.product_product_5894_5123e77a","CN AOSAI Hawthorn Flakes 60*138g CASE","","l10n_generic_coa.1_sale_tax_template","","63.0","__export__.account_tax_6_cba05c03","23.0","23%","1","23%","1"
"__export__.product_product_5896_b0be1cd0","CN AOSAI Hawthorn Stick 42*138g CASE","","l10n_generic_coa.1_sale_tax_template","","51.0","__export__.account_tax_6_cba05c03","23.0","23%","1","23%","1"
"__export__.product_product_5897_97ada8db","CN AOSAI Jujube Hawthorn Hamburger 42*150g CASE","","l10n_generic_coa.1_sale_tax_template","","55.5","__export__.account_tax_6_cba05c03","23.0","23%","1","23%","1"
"__export__.product_product_5900_5986a048","CN AOSAI Light Sugar Hawthorn Pulp 42*128g CASE","","l10n_generic_coa.1_sale_tax_template","","0.0","__export__.account_tax_6_cba05c03","23.0","23%","1","23%","1"
